Game Parameter	ID	Name			Wwise Object Path	Notes
	250876189	RTPC_SetVolume_VoiceSFX			\Game_Parameters\SetVolume\RTPC_SetVolume_VoiceSFX	
	1728933839	RTPC_SetVolume_Music			\Game_Parameters\SetVolume\RTPC_SetVolume_Music	
	1832739962	RTPC_SetVolume_Metronome			\Game_Parameters\SetVolume\RTPC_SetVolume_Metronome	
	1866890756	RTPC_SetVolume_Master			\Game_Parameters\SetVolume\RTPC_SetVolume_Master	
	2701297324	Sidechain_Theme_BaseMusic			\Game_Parameters\Sidechain\Sidechain_Theme_BaseMusic	
	3190805563	Sidechain_SFX_Music			\Game_Parameters\Sidechain\Sidechain_SFX_Music	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\SFX	
	1033152923	Woods_Orchestral			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Music\Orchestral\Woods_Orchestral	
	1192927207	Strings_Orchestral			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Music\Orchestral\Strings_Orchestral	
	1319017392	Theme			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Music\Theme	
	1346697092	Brass_Orchestral			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Music\Orchestral\Brass_Orchestral	
	1551306167	UI			\Default Work Unit\Master Audio Bus\Menu\UI	
	1598298728	Music_Menu			\Default Work Unit\Master Audio Bus\Menu\Music_Menu	
	2542362038	Orchestral			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Music\Orchestral	
	2607556080	Menu			\Default Work Unit\Master Audio Bus\Menu	
	3170124113	Voice			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Voice	
	3537469747	Metronome			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Music\Metronome	
	3539010900	Ambisonics_Bus			\Default Work Unit\Master Audio Bus\Ambisonics_Bus	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	
	3991942870	Music			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Music	
	4206581327	Percussions_Orchestral			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Music\Orchestral\Percussions_Orchestral	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	44205819	Reverb_ConcertHall			\Default Work Unit\Master Audio Bus\Ambisonics_Bus\Reverb_ConcertHall	
	1031316333	Reverb_Menu			\Default Work Unit\Master Audio Bus\Reverb_Menu	

Effect plug-ins	ID	Name	Type				Notes
	195105701	Wwise_Meter_(Custom)	Wwise Meter			
	295546967	Wwise_Meter_(Custom)	Wwise Meter			
	388257655	Wwise_Meter_(Custom)	Wwise Meter			
	461384247	Wwise_Meter_(Custom)	Wwise Meter			
	507687907	Wwise_Recorder_(Custom)	Wwise Recorder			
	531754157	Resonance_Audio_Renderer_(Custom)	Resonance Audio Renderer			
	609398598	Wwise_Meter_(Custom)	Wwise Meter			
	901116825	Wwise_Meter_(Custom)	Wwise Meter			
	1706684651	Plate_Medium	Wwise RoomVerb			
	4085211115	Berlin_Stadtbad_Org_Stereo	Wwise Convolution Reverb			Impulse response created by Pinguin ing.büro © 2010 Pinguin ing.büro.  All rights reserved. IR Pre-delay: 5ms  

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4920713	BlocEnd_Woods_Legato_F-07	C:\Users\Terry\Documents\MONSTRONOME\Monstronome_WwiseProject\trunk\Monstronome\.cache\Windows\SFX\Instruments\BlocA_End\Woods\Legato\BlocEnd_Woods_Legato_F-07_755F56E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Base_Orchestral\BlocEnd_A\Woods\Legato\BlocEnd_Woods_Legato_F-07		430251
	13268261	BlocMiddle_A_Strings_Staccato-07	C:\Users\Terry\Documents\MONSTRONOME\Monstronome_WwiseProject\trunk\Monstronome\.cache\Windows\SFX\Instruments\BlocA_Middle\Strings\Staccato\Base\BlocMiddle_A_Strings_Staccato-07_755F56E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Base_Orchestral\BlocMiddle_A\Strings\Staccato\BlocMiddle_A_Strings_Staccato-07		83479
	17386392	BlocMiddle_A_Strings_Staccato-42	C:\Users\Terry\Documents\MONSTRONOME\Monstronome_WwiseProject\trunk\Monstronome\.cache\Windows\SFX\Instruments\BlocA_Middle\Strings\Staccato\Base\BlocMiddle_A_Strings_Staccato-42_755F56E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Base_Orchestral\BlocMiddle_A\Strings\Staccato\BlocMiddle_A_Strings_Staccato-42		85300
	17436181	BlocEnd_Strings_Legato-19	C:\Users\Terry\Documents\MONSTRONOME\Monstronome_WwiseProject\trunk\Monstronome\.cache\Windows\SFX\Instruments\BlocA_End\Strings\Legato\BlocEnd_Strings_Legato-19_755F56E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Base_Orchestral\BlocEnd_A\Strings\Legato\BlocEnd_Strings_Legato-19		233172
